Name,Set,Rarity,Id,Market Price
Red-Eyes B. Dragon,2002 Collectors Tin,Secret, BPT-005,$143.41
B. Skull Dragon,2002 Collectors Tin,Secret, BPT-006,$79.15
Summoned Skull,2002 Collectors Tin,Secret, BPT-002,$52.81
Lord of D.,2002 Collectors Tin,Secret, BPT-004,$22.97
Blue-Eyes White Dragon,2002 Collectors Tin,Secret, BPT-003,$101.20
Dark Magician,2002 Collectors Tin,Secret, BPT-001,$154.85
2002 Collectors Tin: Yami Yugi & Summoned Skull,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Yami Yugi & Dark Magician,2002 Collectors Tin,Pack, Pack,$795.00
2002 Collectors Tin: Seto Kaiba & Blue-Eyes White Dragon,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Joey Wheeler & B. Skull Dragon,2002 Collectors Tin,Pack, Pack,"$1,999.99"
2002 Collectors Tin: Joey Wheeler & Red-Eyes B. Dragon,2002 Collectors Tin,Pack, Pack,No Price
2002 Collectors Tin: Seto Kaiba & Lord of D.,2002 Collectors Tin,Pack, Pack,$595.00
Jinzo,2003 Collectors Tin,Secret, BPT-011,$34.47
Gearfried the Iron Knight,2003 Collectors Tin,Secret, BPT-012,$14.62
Buster Blader,2003 Collectors Tin,Secret, BPT-008,$22.40
Dark Magician,2003 Collectors Tin,Secret, BPT-007,$28.56
Blue-Eyes White Dragon,2003 Collectors Tin,Secret, BPT-009,$59.37
XYZ-Dragon Cannon,2003 Collectors Tin,Secret, BPT-010,$15.36
2003 Collectors Tin: Seto Kaiba & XYZ-Dragon Cannon,2003 Collectors Tin,Pack, Pack,$496.52
2003 Collectors Tin: Yami Yugi & Dark Magician,2003 Collectors Tin,Pack, Pack,$699.52
2003 Collectors Tin: Yami Yugi & Buster Blader,2003 Collectors Tin,Pack, Pack,$529.55
2003 Collectors Tin: Joey Wheeler & Jinzo,2003 Collectors Tin,Pack, Pack,$579.82
2003 Collectors Tin: Joey Wheeler & Gearfried the Iron Knight,2003 Collectors Tin,Pack, Pack,$444.64
2003 Collectors Tin: Seto Kaiba & Blue-Eyes White Dragon,2003 Collectors Tin,Pack, Pack,$746.69
Blade Knight,2004 Collectors Tin,Secret, CT1-EN002,$10.66
Insect Queen,2004 Collectors Tin,Secret, CT1-EN005,$7.03
Obnoxious Celtic Guard,2004 Collectors Tin,Secret, CT1-EN006,$6.56
Command Knight,2004 Collectors Tin,Secret, CT1-EN003,$4.87
